"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17600","17120","16940","16820","17380","18290","20730","16780","18120","19250","20150","20740","21210","21030","21410","22250","23080","23540","23260","21830","21880","22270","22490","22700","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","1120","2300","3160","4570","4760","4820","5020","5260","5520","5960","6420","7310","8030","8890","8820","8890","9320","9440","9660","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4920","4650","4190","3840","4030","4570","5030","5310","5760","6220","6690","7380","8510","9680","10990","12230","13730","13760","15060","16410","16810","16950","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3290","3650","4070","4340","4340","4370","4390","4500","4550","4800","6180","6550","6720","7390","7920","6550","6880","6810","7000","7350","7250","7640","7790","7870","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26520","26510","27090","28420","29000","30680","","","","","","","","","","","","75090","74770","69980","69270","66640","66430","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300","2450","2520","2620","2750","2870","3020","3140","3290","3260","3340","3410","3480","3530","3680","3920","4180","4400","4710","4790","4940","5200","5410","5750","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6300","6520","6560","6880","7350","7730","7920","8170","8110","8040","8490","8610","8850","9040","9720","10240","10910","11810","12510","12500","13510","14030","14350","14750","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8240","8260","8050","8250","8720","8970","9250","10030","10530","10870","11310","11170","11340","11690","12220","12900","13770","14570","14640","14260","14650","14930","15090","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49870","51650","53800","53720","55070","57220","58450","57180","56150","57380","59030","60690","62660","64420","65210","66280","70010","71070","69740","68010","","","","","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1420","1490","1610","1800","1880","2030","2200","2140","2220","2850","3060","3290","3490","3690","4010","4360","5120","5300","5510","6030","6480","6700","6920","",
